path	node	rank
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS1A-4113-D04;	AMOS1A-4113-D04	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS4A-452-E11;	AMOS4A-452-E11	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Amsterdam-1A-44;	Amsterdam-1A-44	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;ANT06-05;	ANT06-05	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;ASC21;	ASC21	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;BSLdp215;	BSLdp215	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;CCA47;	CCA47	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);	Deep Sea Hydrothermal Vent Gp 2(DHVEG-2)	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);Candidatus Aciduliprofundum;	Candidatus Aciduliprofundum	genus
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;F2apm1A36;	F2apm1A36	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;	Ferroplasmaceae	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma;	Acidiplasma	genus
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;	Ferroplasma	genus
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;HO28S9A17;	HO28S9A17	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;KTK 4A;	KTK 4A	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Benthic Group D and DHVEG-1;	Marine Benthic Group D and DHVEG-1	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;	Marine Group II	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;	Marine Group III	family
